Account,Level,Account Name,Account Title,Standard Cost Equation?,Count Scaling Variable,Count per Variable,Optional Variable,Optional Value,Fixed Cost ($),Unit Cost,Unit Cost (units),Scaling Variable,Scaling Variable Ref Value,Units,Exponent,Dollar Year,Type,Source,Ref,Link,Notes,FOAK to NOAK Multiplier Type,Fixed Cost Low End,Fixed Cost High End,Fixed Cost Distribution,Unit Cost Low End,Unit Cost High End,Unit Cost Distribution,Exponent std,Exponent Max,Exponent Min,Exponent Distribution
214.69,4,HVAC,                        HVAC,standard,Constant,1,,,,,$/m^3,Servicing Facility Integrated Control Room Volume,,m^3,,,,,,,,No Learning,0,0,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
214.7,3,Servicing Facility Admin Building,                  Servicing Facility Admin Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.71,4,Servicing Facility Admin Building Roof,                        Servicing Facility Admin Building Roof,standard,Constant,1,,,,1200,$/m^3,Servicing Facility Admin Building Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
Nuclear Multiplier have not been applied ","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,No Learning,0,0,Lognormal,1080,1560,Lognormal,0.1,1,0,Truncated Normal
214.72,4,Servicing Facility Admin Building Basement,                        Servicing Facility Admin Building Basement,standard,Constant,1,,,,943.9,$/m^3,Servicing Facility Admin Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,849.51,1227.07,Lognormal,0.1,1,0,Truncated Normal
214.73,4,Servicing Facility Admin Building Walls,                        Servicing Facility Admin Building Walls,standard,Constant,1,,,,721.21,$/m^3,Servicing Facility Admin Building Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,649.089,937.5730000000001,Lognormal,0.1,1,0,Truncated Normal
214.79,4,HVAC,                        HVAC,standard,Constant,1,,,,,$/m^3,Servicing Facility Admin Building Volume,,m^3,,,,,,,,No Learning,0,0,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
214.8,3,Servicing Facility Security Building,                  Servicing Facility Security Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.81,4,Servicing Facility Security Building Roof,                        Servicing Facility Security Building Roof,standard,Constant,1,,,,1200,$/m^3,Servicing Facility Security Building Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
Nuclear Multiplier have not been applied ","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,No Learning,0,0,Lognormal,1080,1560,Lognormal,0.1,1,0,Truncated Normal
214.82,4,Servicing Facility Security Building Basement,                        Servicing Facility Security Building Basement,standard,Constant,1,,,,943.9,$/m^3,Servicing Facility Security Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,849.51,1227.07,Lognormal,0.1,1,0,Truncated Normal
214.83,4,Servicing Facility Security Building Walls,                        Servicing Facility Security Building Walls,standard,Constant,1,,,,721.21,$/m^3,Servicing Facility Security Building Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,649.089,937.5730000000001,Lognormal,0.1,1,0,Truncated Normal
214.89,4,HVAC,                        HVAC,standard,Constant,1,,,,,$/m^3,Servicing Facility Security Building Volume,,m^3,,,,,,,,No Learning,0,0,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
214.9,3,Security Fencing,                  Security Fencing,standard,Constant,1,,,,246.06299212598424,$/m,Servicing Facility Perimeter,,,,2009,Lab and Equip,Ref Table 2-8,Kessler. Cost Estimate for an Away-From-Reactor Generic Interim Storage Facility (GISF) for Spent Nuclear Fuel. EPRI. 2009.,https://www.epri.com/research/products/1018722,,No Learning,0,0,Lognormal,221.4566929133858,319.8818897637795,Lognormal,0.1,1,0,Truncated Normal
215,2,New Reactor Fuel and Testing Facility,            New Reactor Fuel and Testing Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215.1,3,Fresh Fuel Storage and Inspection Building,                  Fresh Fuel Storage and Inspection Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215.11,4,Fresh Fuel Storage and Inspection Building Roof,                        Fresh Fuel Storage and Inspection Building Roof,standard,Constant,1,,,,1836,$/m^3,Fresh Fuel Storage and Inspection Building Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
Nuclear Multiplier have been applied to adjust the costs for nuclear-site-related work","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,No Learning,0,0,Lognormal,1652.4,2386.8,Lognormal,0.1,1,0,Truncated Normal
215.12,4,Fresh Fuel Storage and Inspection Building Basement,                        Fresh Fuel Storage and Inspection Building Basement,standard,Constant,1,,,,1444.167,$/m^3,Fresh Fuel Storage and Inspection Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,1299.7503,1877.4171,Lognormal,0.1,1,0,Truncated Normal
215.13,4,Fresh Fuel Storage and Inspection Building Walls,                        Fresh Fuel Storage and Inspection Building Walls,standard,Constant,1,,,,1103.4513000000002,$/m^3,Fresh Fuel Storage and Inspection Building Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,993.1061700000001,1434.4866900000002,Lognormal,0.1,1,0,Truncated Normal
215.19,4,HVAC,                        HVAC,standard,Constant,1,,,,,$/m^3,Fresh Fuel Storage and Inspection Building Volume,,m^3,,,,,,,,No Learning,0,0,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
215.2,3,Reactor Fueling Building,                  Reactor Fueling Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
